"Month","Domestic","International"
"1996-01",29912061,12060134
"1996-02",30807471,11247325
"1996-03",36694224,13748822
"1996-04",34639563,12472833
"1996-05",35334837,13783409
"1996-06",37457332,15423176
"1996-07",38970955,16693795
"1996-08",40207005,17516204
"1996-09",32361104,14674360
"1996-10",35375109,13888011
"1996-11",31746378,12190695
"1996-12",35775512,12764094
"1997-01",32654287,13196336
"1997-02",31230963,11607986
"1997-03",39043491,14577503
"1997-04",36057966,13224850
"1997-05",36763039,14428803
"1997-06",39296705,15410516
"1997-07",41250520,16744505
"1997-08",42102158,17613274
"1997-09",33882689,15535501
"1997-10",36489874,14569005
"1997-11",34085168,12970880
"1997-12",36405808,13248401
"1998-01",32776267,13737872
"1998-02",31705152,12064121
"1998-03",38634518,14727408
"1998-04",37775890,14192589
"1998-05",38255452,15260346
"1998-06",40311120,16149303
"1998-07",42625475,17313695
"1998-08",42263667,17663548
"1998-09",34478258,14273022
"1998-10",37784200,14794018
"1998-11",35668722,13065653
"1998-12",36825079,13383563
"1999-01",34199288,13789271
"1999-02",33033067,12208143
"1999-03",40762609,15793122
"1999-04",39429951,14490904
"1999-05",39235749,15439209
"1999-06",42322160,16890840
"1999-07",45377423,18194825
"1999-08",44408226,18595438
"1999-09",36682265,16449707
"1999-10",40488531,16165370
"1999-11",38909821,14305679
"1999-12",38232891,13513929
"2000-01",34933923,14111488
"2000-02",36023970,13282332
"2000-03",43912920,16530620
"2000-04",41963837,16322844
"2000-05",43178325,17355458
"2000-06",45884524,19018771
"2000-07",47356809,19989567
"2000-08",46508833,19747971
"2000-09",38401788,17498717
"2000-10",41849020,16524976
"2000-11",40735836,14854490
"2000-12",39689934,15133036
"2001-01",37217797,15416557
"2001-02",35815598,13716979
"2001-03",44244542,17330512
"2001-04",42484030,16667615
"2001-05",42614253,17048164
"2001-06",45442917,18910405
"2001-07",48237197,19728100
"2001-08",48739467,19637613
"2001-09",26292394,12309474
"2001-10",33488176,10476611
"2001-11",34094522,10821241
"2001-12",34955709,12880791
"2002-01",33057861,13166169
"2002-02",32687009,11928120
"2002-03",41550123,15347607
"2002-04",38562404,13979759
"2002-05",39986109,15129952
"2002-06",43093899,16651444
"2002-07",45467904,17196607
"2002-08",45608690,17336126
"2002-09",34344419,14751616
"2002-10",39456884,14562865
"2002-11",36716001,13390814
"2002-12",41810444,14846151
"2003-01",36642575,14554599
"2003-02",34566095,12474711
"2003-03",42275446,14491134
"2003-04",39897898,11959555
"2003-05",41373283,12962314
"2003-06",44943033,15329868
"2003-07",48780278,17181936
"2003-08",47474838,17514927
"2003-09",37256711,14864770
"2003-10",41972215,14752335
"2003-11",39809852,14318924
"2003-12",43212550,15527296
"2004-01",38622996,15356790
"2004-02",39103117,14076576
"2004-03",47150439,16885425
"2004-04",46390540,15949576
"2004-05",45789477,16741227
"2004-06",50251858,18614540
"2004-07",53253581,20082308
"2004-08",51287227,19674293
"2004-09",41034153,16846889
"2004-10",46266931,16754211
"2004-11",43925184,15528758
"2004-12",45544428,17135881
"2005-01",41983753,17645854
"2005-02",40480882,15314283
"2005-03",51289218,19306644
"2005-04",47409000,17736550
"2005-05",49351683,18917216
"2005-06",52555832,20397126
"2005-07",55711370,21721628
"2005-08",52868269,20910650
"2005-09",43846412,18200387
"2005-10",46226519,17414376
"2005-11",45412893,16106091
"2005-12",46502981,17786357
"2006-01",43215323,17819704
"2006-02",41184016,15545196
"2006-03",50997603,19802192
"2006-04",49064806,19055753
"2006-05",49524739,19827867
"2006-06",52419212,21680027
"2006-07",54732460,23066161
"2006-08",52316812,21910238
"2006-09",43375753,18969992
"2006-10",47445474,18636690
"2006-11",46248492,17300241
"2006-12",47071686,18909096
"2007-01",44073377,18942637
"2007-02",41486651,16307181
"2007-03",51801016,20899224
"2007-04",50037645,19798511
"2007-05",51250776,20682333
"2007-06",54261544,22664909
"2007-07",56791610,24196729
"2007-08",55921030,23518797
"2007-09",45521610,20391704
"2007-10",49368530,20076820
"2007-11",47502164,18748264
"2007-12",47327241,20455292
"2008-01",44476814,20190292
"2008-02",43627449,17876975
"2008-03",52241397,22334133
"2008-04",48401980,20504902
"2008-05",50468906,22256843
"2008-06",52743854,23418251
"2008-07",54832557,24874988
"2008-08",52885959,24414610
"2008-09",41240773,19957976
"2008-10",45177477,19840725
"2008-11",40793883,17718740
"2008-12",44040793,19462623
"2009-01",39534779,18839007
"2009-02",37837972,15668607
"2009-03",46745158,19282183
"2009-04",45636414,19529887
"2009-05",46182223,19686032
"2009-06",49481609,21868618
"2009-07",52914178,24222621
"2009-08",50703595,23911179
"2009-09",41892688,19542665
"2009-10",45047591,19227149
"2009-11",41814041,17196974
"2009-12",43863158,19368514
"2010-01",40527259,19123803
"2010-02",37190591,16049475
"2010-03",47864046,20443045
"2010-04",45888621,19064630
"2010-05",47163840,21687065
"2010-06",50603254,23871296
"2010-07",53323805,25980636
"2010-08",51671196,25070113
"2010-09",43939559,21401735
"2010-10",47549629,21521998
"2010-11",44629298,18704995
"2010-12",45316764,20481179
"2011-01",41422704,20207659
"2011-02",38497505,16893701
"2011-03",49280419,20877849
"2011-04",46807462,20876096
"2011-05",49244777,22466671
"2011-06",51775995,24281915
"2011-07",54671828,26751387
"2011-08",51823563,25424370
"2011-09",44847058,21498220
"2011-10",47237724,20940192
"2011-11",45064896,18427006
"2011-12",45946141,20649028
"2012-01",41893737,20046444
"2012-02",40659432,17584332
"2012-03",49951428,21744611
"2012-04",47438735,21230493
"2012-05",49239849,22647674
"2012-06",52140189,24620569
"2012-07",54397452,26101902
"2012-08",52460751,25484388
